"counterpartName","transactionTimeUtc","amount","transactionType","transactionId"
"Chemist Warehouse (Dee Why)","2024-06-12 03:30:35.351",-53.97,"CARD_TRANSACTION","f35225e9-33ad-4eb1-a88e-0d26a53c96bf"
"Black Toque Patisserie","2024-06-12 03:29:22.763",-10.8,"CARD_TRANSACTION","7e9da1a5-7811-4538-a423-32e3f7ca1356"
"LMCT+","2024-06-12 03:23:34.052",-10,"CARD_TRANSACTION","c0b240f9-5ebe-4b7d-98af-3d7554d7e9bd"
"Moodie Blomfield P","2024-06-12 03:09:17.321",-15.64,"CARD_TRANSACTION","14b4df97-a7d9-4d39-929a-b1c7787c3e97"
"Foodworks (Aroona)","2024-06-12 03:00:52.303",-3.2,"CARD_TRANSACTION","905e11c0-9af8-4b3b-9f2c-2f3a2f3a4483"
"Kurrawa Surf Club","2024-06-12 02:34:21.494",-49.78,"CARD_TRANSACTION","5eb62d64-2c5d-455d-aa2b-1d372a5f1a65"
"Kedron-Wavell Services Club","2024-06-12 02:26:41.131",-10.6,"CARD_TRANSACTION","f42e551a-4b58-41fe-b3f0-91395f05d6f0"
"Kurrawa Surf Club","2024-06-12 02:21:35.850",-17.23,"CARD_TRANSACTION","1c22ceac-d8c9-45c6-8eac-f28ca6a29639"
"The Lolly Bug","2024-06-12 02:00:23.387",-31.4,"CARD_TRANSACTION","559a5b4d-f782-4865-ba0f-4b8cde12a239"
"Eureka Street Furniture","2024-06-12 01:41:05.860",-1681.35,"CARD_TRANSACTION","9d9982db-307f-4869-b57a-7e1c812f7764"
"Yogurberry (Castle Towers)","2024-06-12 01:31:58.226",-21.66,"CARD_TRANSACTION","58b92ea3-6b3b-4d11-9afe-5dd75306e16d"
"South Coast Radiology (Benowa)","2024-06-12 01:28:05.145",-542.2,"CARD_TRANSACTION","b36ab22b-70e5-4f18-9f97-9e5b740a9e81"
"BWS (Corio)","2024-06-12 01:25:55.485",-10,"CARD_TRANSACTION","a947eee2-5f1a-42a6-b341-876fe2720cff"
"Chop Butchery (Castle Towers)","2024-06-12 01:24:04.789",-32.94,"CARD_TRANSACTION","00fbce79-969f-4c49-9230-d1d7d4d2a645"
"Coles (Castle Towers)","2024-06-12 01:18:48.941",-40,"CARD_TRANSACTION","23d69492-3ad4-47d0-98fb-53421f38ffc0"
"Msmatilda","2024-06-12 01:18:07.150",-5.6,"CARD_TRANSACTION","777411fd-e404-4d67-b25c-948524f00afe"
"Totalav.com","2024-06-12 01:18:00.184",-39,"CARD_TRANSACTION","7a44c8cd-1971-4a39-9dfd-e0b2217faecf"
"Woolworths (Corio)","2024-06-12 01:16:29.590",-18.05,"CARD_TRANSACTION","7fc8cfc8-71c3-432e-bba7-82ed24241b5b"
"Totalav.com","2024-06-12 01:14:51.115",-1.99,"CARD_TRANSACTION","0e463dfe-ca7d-4317-b475-147e2dbc4557"
"Fetch TV","2024-06-12 01:11:29.694",-21.99,"CARD_TRANSACTION","778c8975-5f67-4e2f-bc8a-beb97f49dab5"
"Target (Castle Towers)","2024-06-12 01:08:51.332",-38,"CARD_TRANSACTION","d4eb0051-a4ae-479c-bbcb-bd61891809f6"
"Msmatilda","2024-06-12 01:07:59.051",-25.4,"CARD_TRANSACTION","28eea3bb-965c-46cb-95c1-cb1db82a3df4"
"BP (Tarleton St East Devonport)","2024-06-12 01:06:58.515",-15,"CARD_TRANSACTION","0cefb99c-7624-4b06-b5a7-df70e3a9e160"
"Specsavers (Corio)","2024-06-12 01:03:21.879",-359,"CARD_TRANSACTION","30b5bd4e-a3c0-42e6-a9d1-8d57b03777b7"
"Gewurzhaus","2024-06-12 00:58:24.001",-278.14,"CARD_TRANSACTION","a22bea3a-f445-44aa-8723-140fc53618a1"
"Australia Post (Denistone East)","2024-06-12 00:54:29.132",-1.79,"CARD_TRANSACTION","d921da5b-3932-4192-b6e0-32b81faa806b"
"Skip","2024-06-12 00:50:55.113",-5.61,"CARD_TRANSACTION","59161bfc-1f2f-4109-9d9e-6f823dde1888"
"Chemist Warehouse (Castle Hill)","2024-06-12 00:48:09.530",-7.73,"CARD_TRANSACTION","e12b10fe-31ca-4f8e-b925-04ecff3185a7"
"ALDI (Point Clare)","2024-06-12 00:18:22.923",-68.91,"CARD_TRANSACTION","5883011f-1298-4a37-ac48-75da41203a6f"
"Sussan (Figtree Grove Shopping Centre)","2024-06-11 23:33:31.244",-84.9,"CARD_TRANSACTION","65a41bd8-2eee-4739-ba18-17e915b17393"
"Brighter Coffee","2024-06-11 23:29:33.003",-25.5,"CARD_TRANSACTION","398c5d74-0d38-4022-bfc2-ac3408dd0c73"
"Liquorland (Figtree)","2024-06-11 23:23:21.647",-23,"CARD_TRANSACTION","6f57bf67-810c-4c9c-a898-9e314bc61415"
"The Push-Up Challenge","2024-06-11 23:14:39.007",-35,"CARD_TRANSACTION","0565bb97-0d49-48d9-8446-face982cb4d0"
"Coles (Springwood)","2024-06-11 22:27:16.589",-3.9,"CARD_TRANSACTION","30cf85d7-0b86-480e-b891-3e9b61640eba"
"Kedron-Wavell Services Club","2024-06-11 22:20:27.628",-3.75,"CARD_TRANSACTION","978ccfa1-d120-4fbb-a62d-c0f69212058e"
